Acanthamoeba castellanii,5755,
Acanthamoeba polyphaga,5757,
Aeschynomene virginica,108276,
Agaricus bisporus,5341,cultivated mushroom
Ageratina adenophora,176616,
Allium cepa,4679,onion
Anas platyrhynchos,8839,mallard
Anguilla anguilla,7936,European eel
Anthurium andraeanum,226677,oilcloth-flower
Apis mellifera,7460,honey bee
Apium graveolens,4045,
Arabidopsis thaliana,3702,thale cress
Arachis hypogaea,3818,peanut
Artemia franciscana,6661,brine shrimp
Artemia salina,85549,
Athelia rolfsii,39291,
Avena sativa,4498,oats
Averrhoa carambola,28974,
Beta vulgaris,161934,sugar beet
Bombyx mori,7091,domestic silkworm
Bos taurus,9913,cattle
Brachypodium distachyon,15368,stiff brome
Brassica carinata,52824,Ethiopian mustard
Brassica juncea,3707,brown mustard
Brassica napus,3708,rape
Brassica oleracea,3712,wild cabbage
Brassica rapa,3711,field mustard
Caenorhabditis elegans,6239,roundworm
Canis lupus,9612,gray wolf
Capsicum annuum,4072,
Capsicum frutescens,4073,hot pepper
Castanea dentata,134033,American chestnut
Castanea mollissima,60419,Chinese chestnut
Castanea sativa,21020,European chestnut
Cavia porcellus,10141,domestic guinea pig
Chenopodium quinoa,63459,quinoa
Chinchilla chinchilla,10152,short-tailed chinchilla
Chinchilla lanigera,34839,long-tailed chinchilla
Chlorocebus aethiops,9534,grivet
Cicer arietinum,3827,chickpea
Cichorium intybus,13427,chicory
Citrullus lanatus,3654,wild melon
Citrus aurantiifolia,159033,lime
Citrus iyo,79217,
Citrus jambhiri,64884,rough lemon
Citrus limon,2708,lemon
Citrus limonia,171249,yi mu zi
Citrus paradisi,37656,grapefruit
Citrus reticulata,85571,tangerine
Citrus sinensis,2711,sweet orange
Citrus unshiu,55188,satsuma mandarin
Citrus x microcarpa,164113,calamondin
Citrus x tangelo,229630,
Cotinus coggygria,269719,smokebush
Cotinus obovatus,292731,
Crassostrea gigas,29159,Pacific oyster
Cucumis anguria,39473,gherkin
Cucumis melo,3656,muskmelon
Cucumis sativus,3659,cucumber
Cucurbita maxima,3661,winter squash
Cucurbita moschata,3662,crookneck pumpkin
Cucurbita pepo,3663,vegetable marrow
Cynara cardunculus,4265,wild artichoke
Danio rerio,7955,zebrafish
Daphnia magna,35525,
Daucus carota,4039,carrot
Dianthus caryophyllus,3570,clove pink
Dictyostelium discoideum,44689,
Drosophila melanogaster,7227,fruit fly
