NcbiTaxSpeciesId,ScientificName,Strain,Synonyms
5755,Acanthamoeba castellanii,ATCC 30010,
5755,Acanthamoeba castellanii,ATCC 30234,
5757,Acanthamoeba polyphaga,Linc Ap-1,
4679,Allium cepa,cv. Hendrix,
4679,Allium cepa,cv. Napoleon,
4679,Allium cepa,cv. Texas Grando,
4679,Allium cepa,cv. Texas Grano,
8839,Anas platyrhynchos,Cherry Valley,
8839,Anas platyrhynchos,embryo fibroblast cells,
8839,Anas platyrhynchos,HBK-Q-SPF,
4045,Apium graveolens,dulce group,
3702,Arabidopsis thaliana,ecotype Col-0,Col-0
3702,Arabidopsis thaliana,ecotype Col-5,Col-5
3702,Arabidopsis thaliana,ecotype Columbia,Columbia
3702,Arabidopsis thaliana,ecotype CW84,CW84
3702,Arabidopsis thaliana,ecotype Landsberg,Landsberg
3702,Arabidopsis thaliana,ecotype Landsberg erecta,"Landsberg erecta, Ler-0"
3702,Arabidopsis thaliana,ecotype N70000,N70000
3702,Arabidopsis thaliana,ecotype Nd-0,Nd-0
3702,Arabidopsis thaliana,ecotype Nd-1,Nd-1
3702,Arabidopsis thaliana,ecotype No-0,No-0
3702,Arabidopsis thaliana,ecotype Wassilewskija,Ws
3702,Arabidopsis thaliana,ecotype Wei-0,Wei-0
3702,Arabidopsis thaliana,ecotype Ws-0,Ws-0
3702,Arabidopsis thaliana,Pad2,
3702,Arabidopsis thaliana,Pad3,
3702,Arabidopsis thaliana,PG201,
3702,Arabidopsis thaliana,RIL 3680,
3818,Arachis hypogaea,cv. NC94022,
6661,Artemia franciscana,San Francisco Bay Brand ASF65031,ASF65031
4498,Avena sativa,cv. Porter,
9913,Bos taurus,Angus cross,
9913,Bos taurus,Holstein Friesian,Holstein
9913,Bos taurus,MAC-T cell line,MAC-T
15368,Brachypodium distachyon,cv. Bd21,
3708,Brassica napus,cv. Columbus,
3708,Brassica napus,cv. Darmor,
3708,Brassica napus,cv. DH Topas,
3708,Brassica napus,cv. Eurol,
3708,Brassica napus,cv. Westar,
3708,Brassica napus,cv. Zhongshuang 10,
3708,Brassica napus,cv. Zhongshuang 9,
3708,Brassica napus,cv. Zhongyou 821,
3708,Brassica napus,Z1 line,
3712,Brassica oleracea,cv. Bartolo,
3712,Brassica oleracea,cv. Capitata,
3712,Brassica oleracea,cv. Jingfeng No. 1,
3712,Brassica oleracea,var. botrytis (cauliflower),
3712,Brassica oleracea,var. capitata (cabbage),
