NcbiTaxSpeciesId,ScientificName,Strain,Synonyms
470,Acinetobacter baumannii,AB0057Km,
470,Acinetobacter baumannii,AB5075,
470,Acinetobacter baumannii,AB5075_UW,
470,Acinetobacter baumannii,ATCC 17903,
470,Acinetobacter baumannii,ATCC 17978,
470,Acinetobacter baumannii,ATCC 19606,
470,Acinetobacter baumannii,AYE,
470,Acinetobacter baumannii,BM4587,
470,Acinetobacter baumannii,CI79,
470,Acinetobacter baumannii,MAR002,
470,Acinetobacter baumannii,S1,
106654,Acinetobacter nosocomialis,M2,
715,Actinobacillus pleuropneumoniae,4074,S4074
715,Actinobacillus pleuropneumoniae,LD20,
715,Actinobacillus pleuropneumoniae,S8,
715,Actinobacillus pleuropneumoniae,serotype 15 strain HS143,HS143
715,Actinobacillus pleuropneumoniae,serotype 5b strain L20,L20
715,Actinobacillus pleuropneumoniae,SLW01,
644,Aeromonas hydrophila,SSU,
645,Aeromonas salmonicida,A449,
645,Aeromonas salmonicida,subsp. salmonicida strain JF2267,JF2267
358,Agrobacterium tumefaciens,C58,
358,Agrobacterium tumefaciens,NT1RE,
373,Agrobacterium vitis,F2/5,
5599,Alternaria alternata,15A,
5599,Alternaria alternata,AC325,
5599,Alternaria alternata,ATCC 90610,
5599,Alternaria alternata,EV-MIL31,
5599,Alternaria alternata,HC-2S,
5599,Alternaria alternata,HC1,
5599,Alternaria alternata,M-71,
5599,Alternaria alternata,SD-1,
5599,Alternaria alternata,SH20,
5599,Alternaria alternata,Z7,
29001,Alternaria brassicicola,Abra43,
29001,Alternaria brassicicola,ATCC 96836,
29001,Alternaria brassicicola,ATCC 96866,
29001,Alternaria brassicicola,Tf383,
135859,Alternaria citri,OR1,ATCC 58171
160389,Alternaria longipes,C-00,
48100,Alternaria solani,ALS1,
48100,Alternaria solani,ALS2,
13349,Arthrobotrys oligospora,CBS 115.81,"ATCC 24927, DSM 1491"
13349,Arthrobotrys oligospora,YMF 1.3170,
5454,Ascochyta rabiei,AR628,
5059,Aspergillus flavus,12,
5059,Aspergillus flavus,CA14,
5059,Aspergillus flavus,CA14 (Δku70 ΔpyrG::AfpyrG),
5059,Aspergillus flavus,CA14 PTS,
5059,Aspergillus flavus,NRRL 3357,ATCC 200026
5059,Aspergillus flavus,PTS Δku70 ΔpyrG,
5059,Aspergillus flavus,PTSΔku70ΔpyrG::AfpyrG,
5059,Aspergillus flavus,"Δku70, ΔpyrG::AfpyrG",
746128,Aspergillus fumigatus,237,
746128,Aspergillus fumigatus,293.1,
746128,Aspergillus fumigatus,5233,ATCC 13073
746128,Aspergillus fumigatus,A1160,
746128,Aspergillus fumigatus,"A1160 (Δku80, pyrG)",A1160
746128,Aspergillus fumigatus,A1160C,
746128,Aspergillus fumigatus,A1160P+,
